sorgente,domanda,corretta,errata_1,errata_2,errata_3
../SviluppoCooperazioneInternazionale/conciliare-studio-e-lavoro/index.txt,Quali servizi di supporto vengono offerti ai studenti per migliorare il loro apprendimento?,A. Servizi di tutorato dedicati per attività di supporto peer to peer.,B. Accesso a biblioteche specializzate in ogni disciplina.,C. Corsi di lingua straniera gratuiti per tutti gli studenti.,D.  Un sistema di valutazione online che fornisce feedback immediato.
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/index.txt,"Per poter partecipare alle selezioni per il Corso di Laurea in Sviluppo e cooperazione internazionale, è necessario sostenere:",A. Il TOLC-E,B. Un esame di ammissione organizzato direttamente dall'Università di Bologna,C. Un test di lingua italiana di livello B1 del quadro Europeo di riferimento,D. Un esame di logica e matematica con un punteggio minimo di 70/100
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/index.txt,Quando è possibile sostenere il TOLC per l'a.a. 2024/25 presso l'Università di Bologna?,A. Tra febbraio e luglio 2024,B. Solo nel mese di aprile 2024,C. Tra settembre e dicembre 2024,"D. Solo in presenza, dal 4 marzo al 30 aprile 2024"
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/index.txt,Qual è la data limite per l'inserimento dell'attestazione ISEE per evitare il pagamento della mora?,A. 30 ottobre 2024 ore 18:00,B. 15 novembre 2024 ore 18:00,C. 30 novembre 2024 ore 18:00,D. 15 ottobre 2024 ore 18:00
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/sposi-svic-avviso-selezione-straordinaria-bandotolc-docx.pdf/@@download/file/SPOSI%20SVIC%20Avviso%20selezione%20straordinaria%20BandoTOLC.%20docx.pdf.txt,A chi è rivolta la selezione straordinaria per i corsi di laurea a numero programmato per l'anno accademico 2024/2025?,"A. Cittadini italiani, cittadini dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con cittadini dell'UE",B. Solo a cittadini italiani e cittadini dell'Unione Europea,"C. A tutti i cittadini europei, indipendentemente dalla loro nazionalità",D. A cittadini non-UE residenti in Italia e cittadini dell'Unione Europea
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/sposi-svic-avviso-selezione-straordinaria-bandotolc-docx.pdf/@@download/file/SPOSI%20SVIC%20Avviso%20selezione%20straordinaria%20BandoTOLC.%20docx.pdf.txt,"Secondo il bando di ammissione A.A. 2024/2025, entro quale data i cittadini non-UE residenti all'estero devono presentare il certificato di conoscenza della lingua italiana?",A. 16/09/2024,B. 23/09/2024,C. 15/09/2024,D. 30/09/2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/sposi-svic-avviso-selezione-straordinaria-bandotolc-docx.pdf/@@download/file/SPOSI%20SVIC%20Avviso%20selezione%20straordinaria%20BandoTOLC.%20docx.pdf.txt,"Secondo il bando di ammissione A.A. 2024/2025, entro quale data è necessario immatricolarsi, in caso di vittoria in graduatoria o recupero?","A. Entro i termini perentori indicati nei paragrafi 4.7, 4.8 e 4.9 del bando",B. Entro il 9 settembre 2024,C. Entro il 31 dicembre 2024,D. Entro i termini perentori indicati nella sezione 'Iscriversi' dei siti dei corsi di studio
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il bando, qual è la conseguenza per chi non rispetta le scadenze di pagamento per le procedure di ammissione?","A. Esclusione dalla procedura, indipendentemente dal motivo.",B. Possibilità di richiedere un rinvio della scadenza.,C. Pagamento di una penale aggiuntiva.,D. Richiesta di un colloquio con il responsabile del corso.
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Qual è la data limite per la candidatura alla seconda selezione?,"A. 15 luglio 2024, ore 13.00","B. 29 aprile 2024, ore 13.00",C. 6 maggio 2024,D. 27 maggio 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Quando è possibile effettuare l'immatricolazione per chi è stato ammesso alla selezione ordinaria?,A. Dal 25 luglio 2024 al 30 luglio 2024 compreso,B. Dal 1° agosto 2024 al 26 agosto 2024 compreso,C. Dal 10 settembre 2024 al 19 settembre 2024 compreso,D. Dal 2 ottobre 2024 al 7 ottobre 2024 compreso
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"In base al bando, quanti posti sono disponibili per il corso di Scienze Politiche, Sociali e Internazionali (SPOSI) per i cittadini italiani, dell'Unione Europea e categorie equiparate nella prima selezione?",A. 300,B. 200,C. 640,D. 320
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il bando, entro quale data un studente con un diploma sperimentale in 4 anni deve aver conseguito il diploma di scuola secondaria superiore?",A. 30 dicembre 2024,B. 31 marzo 2026,C. 30 dicembre 2026,D. 31 marzo 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il testo, in quale situazione è possibile iscriversi contemporaneamente a due corsi di studi presso l'Università di Bologna?","A. Se già iscritto ad un corso universitario (Università di Bologna o altro Ateneo) e non si intende rinunciare, trasferirsi o effettuare un passaggio di corso.",B. Se si è già immatricolati a un corso di questo bando e successivamente si ottiene un posto anche in un altro corso.,C. Se si rinuncia agli studi per il corso attuale e si procede con una nuova immatricolazione.,"D. Se entrambi i corsi sono dell'Università di Bologna, si effettua un passaggio di corso (Sezione 4.8)."
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Per la prima selezione del corso, quali TOLC -E sono validi?",A. I TOLC -E svolti tra il 1° gennaio 2023 e il 29 aprile 2024 compresi,B. I TOLC -E svolti tra il 1° gennaio 2023 e il 12 luglio 2024 compresi,C. I TOLC -E svolti tra il 1° gennaio 2023 e il 18 settembre 2024 compresi,D. I TOLC -E svolti tra il 1° gennaio 2024 e il 29 aprile 2024 compresi
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Per quali studenti è possibile richiedere un tempo aggiuntivo del 50% per la prova TOLC -E?,A.  Studenti con invalidità civile e/o handicap ai sensi della L. 104/1992,B. Studenti con DSA e altri disturbi evolutivi specifici,C. Studenti con diagnosi di DSA rilasciata da un centro privato accreditato dalla propria Regione,D. Studenti con diagnosi di DSA rilasciata da uno specialista privato accompagnata da un documento di conformità rilasciato dal Servizio Sanitario Nazionale
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il testo, quando è possibile candidarsi alla seconda selezione per l'ammissione ai corsi?","A. Dal 4 marzo 2024 al 30 aprile 2024, ore 13:00","B. Dal 4 marzo 2023 al 30 aprile 2023, ore 13:00","C. Dal 4 marzo 2024 al 30 aprile 2024, ore 18:00","D. Dal 10 marzo 2024 al 10 maggio 2024, ore 13:00"
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Quando è possibile candidarsi per la selezione straordinaria per l'ammissione ai corsi di laurea?,"A. Dal 10 settembre 2024 al 19 settembre 2024, ore 13:00","B. Dal 4 marzo 2024 al 30 aprile 2024, ore 13:00","C. Dal 2 maggio 2024 al 15 luglio 2024, ore 13:00","D. Dal 10 settembre 2023 al 19 settembre 2023, ore 13:00"
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Qual è la data limite per il conseguimento del titolo di studio, se non è ancora stato conseguito al momento della candidatura?",A. 30 dicembre 2024,B. 11 luglio 2024,C. 8 luglio 2024,D. 15 luglio 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Qual è la data limite per la presentazione di un certificato di conoscenza della lingua italiana per i cittadini non-UE residenti all'estero che partecipano alla prima selezione?,A. 22/04/2024,B. 08/07/2024,C. 11/07/2024,D. 15/07/2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Qual è il punteggio minimo TOLC-E, pesato secondo i criteri descritti, richiesto per la seconda selezione?",A. 6/36,B. 7/36,C. 5/36,D. 8/36
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"In caso di parità di punteggio nella graduatoria per un corso di studi, quale criterio viene utilizzato per stabilire l'ordine di merito?","A. L'età anagrafica, con la persona più giovane che precede.",B. Il punteggio ottenuto nella sezione di comprensione del testo del TOLC-E.,C. La data di presentazione della domanda di ammissione.,D. L'ordine cronologico di pubblicazione delle graduatorie.
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il bando, quando viene pubblicata la graduatoria per la selezione straordinaria?",A. 2 ottobre 2024,B. 16 maggio 2024,C. 25 luglio 2024,D. 31 dicembre 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"In quale delle seguenti situazioni un candidato risulta ""Idoneo"" alla selezione?",A. Ha ottenuto un punteggio di almeno 6/36 ma non rientra nei posti disponibili.,B. Ha ottenuto un punteggio inferiore a 6/36 ma ha scelto un solo corso di studi.,C. Ha ottenuto un punteggio di almeno 6/36 e rientra nei posti disponibili per il corso di riserva.,D. Ha ottenuto un punteggio di almeno 6/36 e rientra nei posti disponibili per il corso di maggior interesse.
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il testo, cosa succede se un candidato risulta “Vincitore” in una graduatoria per un corso di riserva ma non si immatricola?",A. Può immatricolarsi al corso di riserva e dichiarare il proprio interesse per un eventuale spostamento nel corso di maggior interesse.,B. Sarà automaticamente trasferito al corso di maggior interesse.,C. Non potrà più immatricolarsi in alcun corso.,D.  Dovrà attendere la prossima selezione per potersi immatricolare al corso di maggior interesse.
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Quando è possibile dichiarare l'interesse al recupero per la seconda selezione?,A. Dal 25 luglio 2024 al 30 luglio 2024,B. Dal 16 maggio 2024 al 23 maggio 2024,C. Dal 2 ottobre 2024 al 7 ottobre 2024,D. Dal 1 agosto 2024 al 26 agosto 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Quando è possibile dichiarare l'interesse allo spostamento per la seconda selezione?,A. Dal 25 luglio 2024 al 30 luglio 2024,B. Dal 16 maggio 2024 al 23 maggio 2024,C. Dal 2 ottobre 2024 al 7 ottobre 2024,D. Dal 1 agosto 2024 al 5 agosto 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Qual è la data limite per ottenere il diploma di scuola secondaria se si è immatricolati all'università senza averlo ancora conseguito?,A. 30 dicembre 2024,B. 30 giugno 2024,C. 31 dicembre 2023,D. 31 gennaio 2025
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Qual è la data limite per attivare la carriera universitaria dopo l'immatricolazione?,A. 28 febbraio 2025,B. 7 ottobre 2024,C. 30 maggio 2024,D. 15 ottobre 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il testo, entro quale data un studente deve richiedere il riconoscimento di precedenti carriere universitarie concluse?",A. 28 novembre 2024,B. 28 novembre 2023,C. 28 dicembre 2024,D. 28 febbraio 2025
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Per ottenere le agevolazioni sulla contribuzione studentesca (esonero totale o contributo ridotto) in funzione dell'ISEE, qual è il periodo temporale entro cui i CFU devono essere stati acquisiti?",B. 11/08/2023 – 10/08/2024,A. 16/05/2024 – 23/05/2024,C. 25/07/2024 – 26/08/2024,D. 25/07/2023 – 30/07/2023
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,In quale periodo è possibile richiedere il passaggio di corso per la selezione straordinaria?,A. Dal 2 ottobre 2024 al 7 ottobre 2024,B. Dal 25 luglio 2024 al 30 luglio 2024,C. Dal 1° agosto 2024 al 26 agosto 2024,D. Dal 9 settembre 2024 al 15 settembre 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Per ottenere l'esonero totale o la riduzione della contribuzione studentesca, qual è il periodo temporale considerato per il calcolo dei CFU necessari?",A. 1° agosto 2023 - 10 agosto 2024,B. 1° settembre 2022 - 31 agosto 2023,C. 1° gennaio 2023 - 31 dicembre 2023,D. 1° agosto 2024 - 10 agosto 2025
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il testo, entro quale periodo di tempo il Consiglio di Corso di studi di destinazione valuterà i crediti acquisiti nella carriera di provenienza?",A. Successivamente alla conclusione della procedura di trasferimento,B. Entro il 30 maggio 2024,C. Entro il 15 ottobre 2024,D. Entro l'inizio dell'anno accademico 2024/2025
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Per essere considerato valido per l'accesso ai corsi di questo bando, un TOLC-E deve essere sostenuto:","A. tra il 1° gennaio 2023 e il 29 aprile 2024 per la prima selezione, tra il 1° gennaio 2023 e il 12 luglio 2024 per la seconda selezione, o tra il 1° gennaio 2023 e il 18 settembre 2024 per l'eventuale selezione straordinaria.",B. esclusivamente nel corso del 2023 (1° gennaio – 31 dicembre) e del 2024 (dal 1° gennaio).,"C.  tra il 1° gennaio 2024 e il 29 aprile 2024 per la prima selezione, tra il 1° gennaio 2024 e il 12 luglio 2024 per la seconda selezione, o tra il 1° gennaio 2024 e il 18 settembre 2024 per l'eventuale selezione straordinaria.",D.  solo se svolto in presenza (“TOLC @UNI”) nel corso del 2023 (1° gennaio – 31 dicembre) e del 2024 (dal 1° gennaio).
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,Qual è l'importo della parte fissa della contribuzione studentesca per l'iscrizione a un corso di studi all'Università di Bologna?,"A. 157,04 €","B. 147,04 €","C. 167,04 €",D. Il costo è variabile in base al corso di studi.
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,"Secondo il bando, qual è il criterio fondamentale per determinare il numero minimo di CFU richiesti per accedere ai benefici ER.GO?","A. L'anno di prima immatricolazione all'università, anche se presso un altro ateneo.",B. L'anno di corso a cui il candidato viene ammesso dopo il riconoscimento dei CFU.,C. Il numero totale di CFU acquisiti in tutte le carriere universitarie precedenti.,D. Il numero di CFU riconosciuti specificamente sul corso di studi a cui il candidato si iscrive.
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/nuovo-bando_tolc_sposi-svic-2024-2025-giugno-2024-signed.pdf/@@download/file/NUOVO%20BANDO_TOLC_SPOSI%20SVIC%202024-2025%20-%20GIUGNO%202024%20signed.pdf.txt,In quale periodo l'Università di Bologna sarà chiusa per ferie estive?,A. Dal lunedì 12 agosto al venerdì 16 agosto 2024,B. Dal lunedì 12 agosto al venerdì 16 agosto 2023,C. Dal lunedì 19 agosto al venerdì 23 agosto 2024,D. Dal lunedì 5 agosto al venerdì 9 agosto 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/bando-sposi-svic-2022-2023.pdf/@@download/file/Bando_TOLC_SPOSI%20SVIC%202024-2025.pdf.txt,"Secondo il bando, qual è la modalità di pagamento per l'iscrizione al TOLC?",A. Seguendo le modalità indicate sulla piattaforma PagoPA,B. Tramite bonifico bancario diretto all'Università di Bologna,"C. Attraverso il sito web dell'Università di Bologna, utilizzando una carta di credito",D.  Effettuando un pagamento in contanti presso l'ufficio di segreteria
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/bando-sposi-svic-2022-2023.pdf/@@download/file/Bando_TOLC_SPOSI%20SVIC%202024-2025.pdf.txt,Quando è possibile candidarsi alla seconda selezione per l'ammissione al corso?,"A. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00","B. Dal 4 marzo 2024 al 30 aprile 2024, ore 13.00",C. Tra il 1° gennaio 2023 e il 12 luglio 2024 compreso,D. Dal 16 maggio 2024 al 23 maggio 2024 compreso
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/bando-sposi-svic-2022-2023.pdf/@@download/file/Bando_TOLC_SPOSI%20SVIC%202024-2025.pdf.txt,Quando è possibile presentare la domanda di immatricolazione per la selezione straordinaria?,A. Dal 2 ottobre 2024 al 7 ottobre 2024 compreso,B. Dal 1° agosto 2024 al 26 agosto 2024 compreso,C. Dal 25 luglio 2024 al 30 luglio 2024 compreso,"D. Dal 10 settembre 2024 al 19 settembre 2024, ore 13.00"
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/bando-sposi-svic-2022-2023.pdf/@@download/file/Bando_TOLC_SPOSI%20SVIC%202024-2025.pdf.txt,"Secondo il bando, in quale periodo è possibile immatricolarsi o passare a un altro corso per chi ha necessità di recuperare o spostare il proprio percorso di studi?",A. Dal 2 ottobre 2024 al 7 ottobre 2024 compresi,B. Dal 9 ottobre 2024 al 15 ottobre 2024 compresi,C. Dal 26 settembre 2024 al 2 ottobre 2024 compresi,D. Dal 9 ottobre 2024 al 2 ottobre 2024 compresi
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/bando-sposi-svic-2022-2023.pdf/@@download/file/Bando_TOLC_SPOSI%20SVIC%202024-2025.pdf.txt,"Secondo il bando, entro quale data deve essere conseguito il diploma di scuola secondaria superiore da parte degli studenti che si iscrivono con uno dei titoli elencati in 3.2.a?",A. 30 dicembre 2024,B. 31 marzo 2026,C. 30 dicembre 2025,D. 31 dicembre 2024
../SviluppoCooperazioneInternazionale/iscriversi-al-corso/bando-sposi-svic-2022-2023.pdf/@@download/file/Bando_TOLC_SPOSI%20SVIC%202024-2025.pdf.txt,"Secondo il bando, in quale situazione è possibile iscriversi contemporaneamente a due corsi di studi all'Università di Bologna?",A. Se previsto dalla legge n. 33 del 12 aprile 2022.,B. Se si è già iscritti ad un corso universitario presso un altro ateneo.,C. Se si rinuncia al corso di studi in corso presso l'Università di Bologna.,D. Se si ottiene un posto in un secondo corso dopo essere già immatricolati in un altro.
